benchmark,backbone,backbone_short,seed,config,qz_sweep,qz_run_id,lr,init_lr,gamma,hidden_dim,batch_size,init_batch_size,buffer_batch,avg_acc,avg_inc_acc,bwt,task0_final,collapsed
imagenet_a,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h_sweep,126c1991af0e,1e-05,0.001,50,192,64,64,256,37.16,54.43,-0.163,54.07,True
imagenet_a,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,83.81,89.6,-0.0655,84.17,False
imagenet_a,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,82.94,89.36,-0.0607,91.39,False
imagenet_a,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,84.03,89.79,-0.0666,81.03,False
imagenet_a,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,79.86,87.89,-0.0689,81.43,False
imagenet_a,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,a985397d7e51,5e-05,0.001,75,192,128,128,500,82.99,88.51,-0.072,85.19,False
imagenet_r,dinov3_vitb16,v3-B/16,7,paperhp,dinov3_min_focused,c119cc4410e1,5e-05,0.001,75,192,256,256,1000,89.31,92.88,-0.0418,88.19,False
imagenet_r,dinov3_vitb16,v3-B/16,42,paperhp,dinov3_min_focused,c119cc4410e1,5e-05,0.001,75,192,256,256,1000,88.99,92.96,-0.0415,92.6,False
imagenet_r,dinov3_vitb16,v3-B/16,1993,paperhp,dinov3_min_focused,c119cc4410e1,5e-05,0.001,75,192,256,256,1000,89.84,94.08,-0.0481,88.68,False
imagenet_r,dinov3_vitb16,v3-B/16,2024,paperhp,dinov3_min_focused,c119cc4410e1,5e-05,0.001,75,192,256,256,1000,89.71,93.91,-0.0412,91.0,False
imagenet_r,dinov3_vitb16,v3-B/16,31337,paperhp,dinov3_min_focused,c119cc4410e1,5e-05,0.001,75,192,256,256,1000,89.57,93.62,-0.038,92.03,False
imagenet_r,dinov3_vith16,v3-H/16,7,paperhp,all_classes_min_dinov3h,f912d4b7b518,5e-05,0.001,75,192,64,64,256,37.67,51.41,-0.1368,58.33,True
imagenet_r,dinov3_vith16,v3-H/16,42,paperhp,all_classes_min_dinov3h,f912d4b7b518,5e-05,0.001,75,192,64,64,256,4.85,18.62,-0.2377,36.71,True
imagenet_r,dinov3_vith16,v3-H/16,1993,paperhp,all_classes_min_dinov3h,f912d4b7b518,5e-05,0.001,75,192,64,64,256,5.06,18.05,-0.3576,0.0,True
imagenet_r,dinov3_vith16,v3-H/16,2024,paperhp,all_classes_min_dinov3h,f912d4b7b518,5e-05,0.001,75,192,64,64,256,5.4,18.29,-0.2,16.96,True
imagenet_r,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h,f912d4b7b518,5e-05,0.001,75,192,64,64,256,53.07,64.91,-0.1021,77.74,False
